event_id,severity,source_location,observed,action,status,rationale
"O012-ADV-0510","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2447-2497; reader:1250-1257#o012-fom-u004-audit-mayer-vietoris-chain-labels; assets:source/id-ID/fomberg/assets/unit-004/mayer-vietoris-cover.svg and .png; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-012; O012-FOM-U004-IR-P2-001] The source picture places eta in A and tau in B while the algebraic diagram orders (tau,eta) in H_n(A) direct-sum H_n(B) and takes the boundary of tau; the first redraw inherited the pictorial labels and conflicted with reader prose and alt text.","adopt the algebraic convention tau in A and eta in B consistently in prose, alt text, SVG, and PNG, and record the source inconsistency","resolved_before_admission","eliminates a cross-modal accessibility and sign-label mismatch without changing the symmetric homology class"
"O012-ADV-0511","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2546-2548; reader:1362-1369#o012-fom-u004-audit-sphere-tilde; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-013] The sphere Mayer--Vietoris example drops reduced-homology tildes from the suspension recurrence, which is false in degree zero for ordinary homology.","retain reduced homology on both sides of the recurrence","corrected_in_translation","makes the formula agree with the reduced Mayer--Vietoris sequence used throughout the example"
"O012-ADV-0512","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2594-2600; reader:1454-1461#o012-fom-u004-audit-rp2-degree; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-014] The real-projective-plane calculation states multiplication by two but leaves comments asking for the geometric intuition rather than supplying it.","explain the degree-two boundary map from the Möbius-band boundary circle to its core circle","clarified_in_translation","turns an unpublished work comment into a complete reader-facing justification without treating it as source prose"
"O012-ADV-0513","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2617-2665; reader:1524-1530#o012-fom-u004-omission-pr09; edition-original repair reader:1532#o012-fom-u004-proof-naturality-repair; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-09; FOM-U004-SRC-015] The source states naturality of the long exact sequence but does not prove that the square containing the connecting map commutes, although the comparison proof later depends on it.","supply the separately identified edition-original chain-level FOM-PR-09 proof of partial-prime gamma_* equals alpha_* partial","proof_completed_in_translation","establishes the precise naturality dependency used by the simplicial--singular comparison"
"O012-ADV-0514","P3","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2617-2619,2642-2646,2700-2704,2721-2722,2782-2785,2818-2821,2838-2843; reader:1572-1578#o012-fom-u004-audit-spelling; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-016] Eight source loci contain the deduplicated deterministic defects he long exact sequence, that that, idependent, a long exact sequences, Suppse, two exact sequence, interesected, and surjevtive.","normalize the eight phrases in translation and retain them as one deduplicated source-typography event","corrected_in_translation","removes prose noise without multiplying upstream-report candidates or changing mathematics"
"O012-ADV-0515","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2700-2704; reader:1613-1618#o012-fom-u004-audit-homology-not-homotopy; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-017] The source calls f_* an isomorphism in homotopy although it is a map between homology groups.","state that f_* is an isomorphism in homology","corrected_in_translation","restores the codomain theory and the proposition's actual conclusion"
"O012-ADV-0516","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2747-2778; reader:1716-1722#o012-fom-u004-omission-pr10; edition-original repair reader:1724#o012-fom-u004-proof-relative-generator-repair; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-10; FOM-U004-SRC-018] The source computes isomorphic abstract relative groups and immediately invokes the Five Lemma without proving that the actual simplicial--singular comparison map is an isomorphism.","supply the separately identified edition-original FOM-PR-10 generator calculation showing degree plus one on the matching wedge summand and zero on the others","proof_completed_in_translation","proves compatibility of the actual vertical arrows required by the induction diagram"
"O012-ADV-0517","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2751-2773; reader:1756-1763#o012-fom-u004-audit-relative-case-indices; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-019] The two relative-homology case formulas use n_alpha not equal to zero and n not equal to zero where the zero branch must be n not equal to k, and one sum condition is placed as a case condition.","use n equals k versus n not equal to k and put n_alpha equals k only on the direct-sum index","corrected_in_translation","makes both piecewise formulas well typed and consistent with the surrounding proof"
"O012-ADV-0518","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2707-2708; reader:1765-1769#o012-fom-u004-audit-finite-dimension-symbol; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-020] The source uses n simultaneously for the finite dimension bound in X equals X^(n) and for homological degree.","rename the dimension bound N while retaining n for homological degree","clarified_in_translation","prevents the skeleton induction variable from colliding with the grading variable"
"O012-ADV-0519","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2807-2810; reader:1794-1799#o012-fom-u004-omission-pr07; edition-original repair reader:1801#o012-fom-u004-proof-five-lemma-repair; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-07; FOM-U004-SRC-021] The source proof of the Five Lemma consists only of diagram chasing and to be added, with neither injectivity nor surjectivity established.","supply the separately identified edition-original FOM-PR-07 element chase proving both directions","proof_completed_in_translation","closes the lemma used by the finite-skeleton comparison induction"
"O012-ADV-0520","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2818-2827; reader:1885-1891#o012-fom-u004-omission-pr11; edition-original repair reader:1893#o012-fom-u004-proof-compact-finite-simplices-repair; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-11; FOM-U004-SRC-022] The source declares the sets U_i open without proving that deleting all other selected points is closed in the weak topology.","supply the separately identified edition-original FOM-PR-11 proof using finite face closures and the weak topology before invoking compactness","proof_completed_in_translation","repairs the compact-subset lemma needed to reduce infinite Delta-complexes to finite-dimensional skeleta"
"O012-ADV-0521","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2832-2841; reader:1937-1942#o012-fom-u004-audit-surjectivity-class-type; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-023] The source calls an element of X^(k) the preimage of a homology class, confusing a point with a simplicial homology class and its cycle representative.","state the preimage as a class in H_n^Delta(X^(k)) represented by a simplicial cycle","corrected_in_translation","keeps the surjectivity argument at the correct categorical and chain levels"
"O012-ADV-0522","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2838-2844; reader:1944-1950#o012-fom-u004-omission-pr08; edition-original repair reader:1952#o012-fom-u004-proof-injectivity-comparison-repair; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-08; FOM-U004-SRC-024] The source says injectivity is similar and leaves to be added, without controlling the finite singular chain that bounds a simplicial cycle.","supply the separately identified edition-original FOM-PR-08 proof placing both the finite simplicial cycle and its compact singular bounding chain in one finite-dimensional skeleton","proof_completed_in_translation","proves global injectivity from the finite-skeleton comparison rather than silently waiving the omitted argument"
